LIB,VER,Z,SYM,A,M,MF,MT,LIBORIG,VERORIG
JEFF,3.2,73,Ta,180,m,6,112,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,63,JEFF,3.2
JEFF,3.2,74,W,186,g,6,104,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,107,JEFF,3.2
JEFF,3.2,76,Os,187,g,3,1,JEFF,3.2
JEFF,3.2,74,W,184,g,14,52,TENDL,2009
JEFF,3.2,74,W,183,g,14,41,JEFF,3.2
JEFF,3.2,74,W,182,g,14,55,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,115,JEFF,3.2
JEFF,3.2,74,W,186,g,6,91,JEFF,3.2
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,76,Os,187,g,3,2,JEFF,3.2
JEFF,3.2,74,W,186,g,6,105,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,64,JEFF,3.2
JEFF,3.2,72,Hf,181,g,6,111,JEFF,3.2
JEFF,3.2,74,W,182,g,14,56,JEFF,3.2
JEFF,3.2,74,W,184,g,14,53,TENDL,2009
JEFF,3.2,76,Os,187,g,3,3,JEFF,3.2
JEFF,3.2,73,Ta,180,m,6,116,JEFF,3.2
JEFF,3.2,74,W,186,g,6,106,JEFF,3.2
JEFF,3.2,75,Re,188,g,3,65,JEFF,3.2
JEFF,3.2,74,W,183,g,14,51,TENDL,2009
JEFF,3.2,7,,t,,18,1,JEFF,3.2
JEFF,3.2,74,W,184,g,14,54,TENDL,2009
JEFF,3.2,72,Hf,181,g,8,5,JEFF,3.2
JEFF,3.2,74,W,182,g,14,57,JEFF,3.2
